Unnamed: 0.1,시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
1711,2022,포항,20R,성남(A),2,박승욱,DF,14,95,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,65,55,85,2,24,17,71,11,11,100.0,30,27,90.0,10,7,70.0,16,12,75.0,39,36,92.3,6,3,50.0,22,19,86.4,37,33,89.2,4,3,75.0,0,4,2,50.0,2,2,100.0,6,5,83.3,1,8,4,6,2,0,0,0,0,0,2022,성남(A),2,right,RB,정발
1712,2022,포항,20R,성남(A),3,박찬용,DF,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,55,95,0,28,25,89,4,4,100.0,26,26,100.0,0,0,0.0,27,25,92.6,31,30,96.8,7,6,85.7,37,35,94.6,14,14,100.0,0,0,0.0,0,1,1,100.0,1,0,0.0,4,1,25.0,4,3,3,3,1,0,0,1,0,0,2022,성남(A),3,right,CB2,정발x
1713,2022,포항,20R,성남(A),4,그랜트,DF,5,95,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,60,56,93,0,27,23,85,6,6,100.0,27,27,100.0,2,2,100.0,25,23,92.0,33,31,93.9,8,6,75.0,30,29,96.7,22,21,95.4,0,0,0.0,0,3,2,66.7,10,7,70.0,4,2,50.0,9,3,0,0,2,0,0,0,0,0,2022,성남(A),4,,CB1,정발x
1714,2022,포항,20R,성남(A),5,심상민,DF,2,95,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,44,40,91,0,16,13,81,15,15,100.0,13,12,92.3,9,7,77.8,8,6,75.0,27,27,100.0,4,2,50.0,16,15,93.8,24,23,95.8,1,0,0.0,0,3,0,0.0,2,1,50.0,1,0,0.0,3,0,0,1,1,0,0,1,0,0,2022,성남(A),5,left,LB,정발
1729,2022,포항,21R,수원(H),2,박승욱,DF,14,94,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,64,58,91,0,21,16,76,16,16,100.0,27,26,96.3,13,10,76.9,15,14,93.3,36,34,94.4,8,5,62.5,22,21,95.4,34,32,94.1,0,0,0.0,1,2,0,0.0,2,0,0.0,2,1,50.0,0,4,2,3,7,0,2,1,1,0,2022,수원(H),2,right,RB,정발
1730,2022,포항,21R,수원(H),3,그랜트,DF,5,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,54,89,0,34,27,79,2,2,100.0,25,25,100.0,1,0,0.0,17,15,88.2,43,39,90.7,8,3,37.5,32,32,100.0,21,19,90.5,0,0,0.0,0,1,1,100.0,11,5,45.5,1,1,100.0,7,2,0,3,6,0,0,0,0,0,2022,수원(H),3,,CB1,정발x
1731,2022,포항,21R,수원(H),4,심상민,DF,2,66,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,48,43,90,0,19,14,74,13,13,100.0,16,16,100.0,7,7,100.0,7,6,85.7,34,30,88.2,6,3,50.0,12,11,91.7,30,29,96.7,0,0,0.0,1,2,0,0.0,1,0,0.0,2,2,100.0,1,2,2,3,0,1,1,0,0,0,2022,수원(H),4,left,LB,정발
1732,2022,포항,21R,수원(H),5,박찬용,DF,20,94,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,64,55,86,0,37,28,76,5,5,100.0,22,22,100.0,2,2,100.0,22,17,77.3,40,36,90.0,9,3,33.3,24,21,87.5,31,31,100.0,0,0,0.0,0,5,2,40.0,3,3,100.0,4,2,50.0,7,8,2,1,1,0,0,0,0,0,2022,수원(H),5,right,CB2,정발x
1747,2022,포항,22R,제주(H),2,신광훈,DF,17,95,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,52,42,81,0,20,12,60,18,18,100.0,14,12,85.7,21,18,85.7,8,6,75.0,23,18,78.3,5,3,60.0,26,20,76.9,21,19,90.5,4,1,25.0,0,5,4,80.0,3,2,66.7,3,0,0.0,3,2,6,6,2,1,1,1,0,0,2022,제주(H),2,right,RB,정발
1748,2022,포항,22R,제주(H),3,박찬용,DF,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,44,92,0,27,23,85,1,1,100.0,20,20,100.0,0,0,0.0,17,15,88.2,31,29,93.6,11,8,72.7,24,24,100.0,13,12,92.3,0,0,0.0,0,2,2,100.0,1,1,100.0,2,0,0.0,7,1,2,3,3,0,0,0,0,0,2022,제주(H),3,right,CB2,정발x
