시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
2023,서울,36R,제주(A),5,오스마르,DF,5,99,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,71,62,87,0,43,34,79,6,6,100.0,22,22,100.0,3,1,33.3,34,31,91.2,34,30,88.2,5,2,40.0,34,30,88.2,32,30,93.8,0,0,0.0,1,2,2,100.0,3,1,33.3,1,0,0.0,7,6,5,8,6,0,0,0,0,0,2023,제주(A),5,left,CB1,정발
2023,서울,38R,대전(A),2,박수일,DF,96,103,0,1,2,0,0,2,1,1,0,2,0,6,0,0,0,69,62,90,1,26,21,81,24,24,100.0,19,17,89.5,7,7,100.0,29,23,79.3,33,32,97.0,3,3,100.0,24,19,79.2,42,40,95.2,3,1,33.3,0,0,0,0.0,4,1,25.0,3,1,33.3,3,5,1,4,1,0,1,1,0,0,2023,대전(A),2,right,LB,정발x
2023,서울,38R,대전(A),3,김주성,DF,30,103,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,48,43,90,0,26,21,81,5,5,100.0,17,17,100.0,0,0,0.0,30,25,83.3,18,18,100.0,11,8,72.7,15,14,93.3,22,21,95.4,0,0,0.0,0,1,0,0.0,10,7,70.0,1,0,0.0,15,5,0,0,3,1,1,0,0,0,2023,대전(A),3,left,CB1,정발
2023,서울,38R,대전(A),4,김경민,DF,19,25,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,16,9,56,0,13,6,46,0,0,0.0,3,3,100.0,0,0,0.0,6,3,50.0,10,6,60.0,4,1,25.0,2,0,0.0,10,8,80.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,1,1,1,0,0,0,0,0,2023,대전(A),4,,RB,정발x
2023,서울,38R,대전(A),5,박성훈,DF,40,103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,43,86,0,27,20,74,4,4,100.0,19,19,100.0,0,0,0.0,37,33,89.2,13,10,76.9,5,2,40.0,24,23,95.8,21,18,85.7,0,0,0.0,0,0,0,0.0,6,3,50.0,3,2,66.7,7,2,1,1,7,0,0,1,0,0,2023,대전(A),5,,CB2,정발x
2023,대전,1R,강원(H),2,조유민,DF,20,101,0,0,0,0,0,0,0,0,0,3,0,0,1,1,100,56,51,91,0,27,22,82,6,6,100.0,23,23,100.0,1,1,100.0,23,22,95.6,32,28,87.5,8,5,62.5,22,22,100.0,26,24,92.3,0,0,0.0,0,1,1,100.0,7,5,71.4,1,1,100.0,16,4,2,6,3,0,2,0,1,0,2023,강원(H),2,right,CB1,정발x
2023,대전,1R,강원(H),3,김민덕,DF,3,101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,31,86,0,16,11,69,8,8,100.0,12,12,100.0,2,2,100.0,15,13,86.7,19,16,84.2,2,2,100.0,10,8,80.0,24,21,87.5,0,0,0.0,0,1,0,0.0,5,3,60.0,2,2,100.0,12,3,1,6,2,0,1,0,0,0,2023,강원(H),3,right,CB2,정발
2023,대전,1R,강원(H),4,오재석,DF,22,101,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,29,21,72,1,16,9,56,7,7,100.0,6,5,83.3,3,3,100.0,8,6,75.0,18,12,66.7,1,0,0.0,7,4,57.1,21,17,81.0,1,0,0.0,0,0,0,0.0,4,2,50.0,3,1,33.3,4,2,0,4,2,1,0,0,1,0,2023,강원(H),4,right,RB,정발
2023,대전,1R,강원(H),5,안톤,DF,98,101,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,49,45,92,0,29,26,90,5,5,100.0,15,14,93.3,2,2,100.0,18,18,100.0,29,25,86.2,2,2,100.0,18,16,88.9,29,27,93.1,0,0,0.0,0,0,0,0.0,3,3,100.0,0,0,0.0,4,7,7,3,4,0,0,1,0,0,2023,강원(H),5,left,LB,정발
2023,대전,2R,인천(A),2,안톤,DF,98,105,0,0,0,0,0,0,0,0,0,1,0,2,1,1,100,48,45,94,0,20,17,85,9,9,100.0,19,19,100.0,1,1,100.0,10,9,90.0,37,35,94.6,2,2,100.0,19,17,89.5,27,26,96.3,1,0,0.0,0,2,1,50.0,4,3,75.0,3,1,33.3,10,6,6,2,3,1,2,1,1,0,2023,인천(A),2,left,LB,정발
