시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,탈압박,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
2021,울산,24R,성남(A),5,김태환,DF,23,77,0,0,0,0,0,0,0,0,0,2,0,8,1,0,0,64,57,89,2,21,17,81,20,19,95.0,23,21,91.3,16,13,81.2,7,7,100.0,41,37,90.2,8,7,87.5,26,25,96.2,30,25,83.3,5,3,60.0,3,2,66.7,0,0,0.0,0,0,0.0,1,1,1,4,1,0,1,0,0,0,0,2021.0,성남(A),5.0,right,RB,정발
2021,울산,25R,제주(A),2,김기희,DF,44,100,0,1,1,0,0,1,1,0,0,4,0,0,0,0,0,55,47,85,1,23,15,65,6,6,100.0,26,26,100.0,0,0,0.0,30,26,86.7,25,21,84.0,6,2,33.3,32,29,90.6,17,16,94.1,0,0,0.0,3,0,0.0,9,5,55.6,1,0,0.0,3,3,2,11,0,1,1,0,0,0,0,2021.0,제주(A),2.0,right,CB2,정발
2021,울산,25R,제주(A),3,김태환,DF,23,100,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,63,46,73,1,30,19,63,18,17,94.4,15,10,66.7,18,10,55.6,9,5,55.6,36,31,86.1,8,5,62.5,21,17,81.0,34,24,70.6,5,1,20.0,8,6,75.0,1,0,0.0,1,1,100.0,1,1,3,9,0,1,1,2,1,0,0,2021.0,제주(A),3.0,right,RB,정발
2021,울산,25R,제주(A),4,홍철,DF,33,59,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,52,45,87,1,20,15,75,16,16,100.0,16,14,87.5,5,4,80.0,16,12,75.0,31,29,93.6,5,3,60.0,21,17,81.0,26,25,96.2,2,1,50.0,3,1,33.3,0,0,0.0,1,1,100.0,1,0,2,4,0,0,0,2,0,0,0,2021.0,제주(A),4.0,left,LB,정발
2021,울산,25R,제주(A),5,불투이스,DF,4,100,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,52,47,90,0,29,24,83,3,3,100.0,20,20,100.0,0,0,0.0,36,32,88.9,16,15,93.8,10,6,60.0,24,24,100.0,18,17,94.4,0,0,0.0,6,4,66.7,5,4,80.0,2,1,50.0,6,0,8,10,1,0,2,0,0,0,0,2021.0,제주(A),5.0,left,CB1,정발
2021,울산,26R,수원(H),2,김기희,DF,44,97,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,66,57,86,0,33,24,73,2,2,100.0,31,31,100.0,2,2,100.0,28,25,89.3,36,30,83.3,14,8,57.1,31,28,90.3,21,21,100.0,0,0,0.0,2,1,50.0,6,4,66.7,0,0,0.0,1,5,1,10,0,0,0,1,0,0,0,2021.0,수원(H),2.0,right,CB2,정발
2021,울산,26R,수원(H),3,설영우,DF,66,97,0,1,0,0,0,0,0,0,0,1,0,6,1,0,0,67,52,78,2,19,10,53,25,24,96.0,23,18,78.3,25,15,60.0,8,7,87.5,34,30,88.2,7,5,71.4,21,17,81.0,39,30,76.9,4,1,25.0,8,3,37.5,4,3,75.0,1,1,100.0,2,2,2,6,0,0,0,1,0,0,0,2021.0,수원(H),3.0,right,LB,정발x
2021,울산,26R,수원(H),4,김태환,DF,23,97,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,53,42,79,0,16,9,56,17,17,100.0,20,16,80.0,21,12,57.1,3,3,100.0,29,27,93.1,4,3,75.0,17,12,70.6,32,27,84.4,5,1,20.0,5,3,60.0,1,1,100.0,1,1,100.0,1,2,5,8,0,0,1,1,1,0,4,2021.0,수원(H),4.0,right,RB,정발
2021,울산,26R,수원(H),5,불투이스,DF,4,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58,52,90,0,30,24,80,3,3,100.0,25,25,100.0,0,0,0.0,20,19,95.0,38,33,86.8,13,11,84.6,33,29,87.9,12,12,100.0,0,0,0.0,2,1,50.0,6,3,50.0,2,2,100.0,4,2,2,8,1,0,2,0,0,0,0,2021.0,수원(H),5.0,left,CB1,정발
2021,울산,27R,서울(A),2,김태환,DF,23,95,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,53,40,75,1,19,13,68,16,16,100.0,18,11,61.1,15,10,66.7,17,14,82.4,21,16,76.2,8,2,25.0,17,13,76.5,28,25,89.3,5,1,20.0,5,5,100.0,0,0,0.0,0,0,0.0,1,0,6,7,0,2,1,0,0,0,1,2021.0,서울(A),2.0,right,RB,정발
